gene_IDs,DMSO,BPA
ENSG00000130227,10.2074581,10.28481054
ENSG00000275665,5.373417607,6.121854019
ENSG00000131148,9.855356361,9.833210823
ENSG00000239195,5.643261868,5.765832092
ENSG00000162852,3.717177109,3.644051685
ENSG00000130347,8.909349396,8.873303561
ENSG00000277399,4.004588454,3.377253922
ENSG00000235253,12.89886668,12.90463893
ENSG00000171262,2.607555796,2.583162383
ENSG00000169826,5.302712777,5.255075551
ENSG00000226259,9.423582189,9.432746256
ENSG00000128159,7.905690834,8.070216733
ENSG00000258499,1.224329354,2.29660353
ENSG00000121691,11.96906984,12.00438992
ENSG00000144031,2.326103201,5.514880188
ENSG00000136457,2.812752227,3.073448368
ENSG00000223496,6.597788168,6.612755649
ENSG00000251575,5.371832011,5.86451792
ENSG00000228027,2.790590198,3.897492757
ENSG00000160323,8.053836554,8.159389101
ENSG00000151240,2.146364602,2.901568511
ENSG00000159733,7.738780232,7.970526483
ENSG00000287483,2.270522535,1.97974853
ENSG00000233452,1.303072677,3.069738713
ENSG00000251219,2.351173862,3.459620282
ENSG00000177666,10.1557431,10.19408967
ENSG00000102763,5.884998609,5.557345097
ENSG00000176092,5.051814239,5.259794144
ENSG00000168672,4.972705485,7.189240497
ENSG00000171097,8.044524901,8.07431248
ENSG00000237306,5.000120315,4.69954016
ENSG00000075407,6.741643737,6.774775077
ENSG00000112290,8.410841108,8.599799733
ENSG00000229238,3.487060011,3.539006821
ENSG00000181690,7.729114526,7.774724346
ENSG00000204856,7.919765388,8.066335309
ENSG00000205444,6.900359884,7.264564226
ENSG00000184270,10.83256595,10.95621663
ENSG00000122550,6.069575624,6.306165354
ENSG00000226443,2.922410136,2.892952551
ENSG00000112773,7.27043316,7.340508136
ENSG00000227466,2.97692396,3.114627821
ENSG00000225484,4.670320695,4.658634497
ENSG00000229330,5.085504413,4.929406243
ENSG00000128849,10.32367385,10.27642338
ENSG00000071994,9.479847715,9.465022557
ENSG00000236536,6.182605358,6.298070632
ENSG00000154065,8.767769029,8.851931664
ENSG00000156873,5.919873011,6.055193033
ENSG00000078900,4.914720974,4.105442722
ENSG00000262678,3.017378692,2.092546644
ENSG00000204220,9.188028013,9.126399895
ENSG00000115414,8.225882017,7.950269028
ENSG00000104998,5.839333811,5.798432267
ENSG00000223935,3.323985016,2.434916437
ENSG00000136908,3.961777817,3.563412112
ENSG00000235717,3.433302541,2.14606
ENSG00000138271,5.934012928,6.031531332
ENSG00000138032,9.046202665,9.000872885
ENSG00000132024,16.6735253,16.74167041
ENSG00000100075,11.26344403,11.34396166
ENSG00000231028,9.208317114,9.535937721
ENSG00000213063,10.79412263,10.754672
ENSG00000255928,4.978366379,4.687048184
ENSG00000229728,4.926054717,4.861887795
ENSG00000104497,3.347475769,3.335938739
ENSG00000111880,7.085431571,7.069641345
ENSG00000103855,5.607782834,5.457932913
ENSG00000128482,4.394450275,4.506866701
ENSG00000013561,7.907474768,7.932643621
ENSG00000248441,5.793721348,5.298055091
ENSG00000126858,4.460391797,4.704178309
ENSG00000198331,5.430420504,5.531241526
ENSG00000022277,9.698962276,9.956807742
ENSG00000187531,8.916970609,9.226166925
ENSG00000115459,4.537495646,4.829249967
ENSG00000136167,5.889869598,6.007129376
ENSG00000173890,6.244012236,6.316020865
ENSG00000231132,1.814470069,2.352877357
ENSG00000248932,5.488925107,5.316312759
ENSG00000184445,5.14011684,5.37931884
ENSG00000286288,6.472704167,6.61701718
ENSG00000164172,9.610148266,9.430707946
ENSG00000149657,3.101892999,2.971142913
ENSG00000264643,1.111583161,3.663891333
ENSG00000095066,7.352171378,7.56214924
ENSG00000230768,0.95290944,2.006087187
ENSG00000134982,5.879306731,5.589668655
ENSG00000075292,7.531251838,7.274271485
ENSG00000234810,5.536892391,6.147647596
ENSG00000125843,8.04864368,8.009014936
ENSG00000130513,12.12801023,12.15160459
ENSG00000135622,6.685168893,6.749479416
ENSG00000281708,5.064424055,5.356875477
ENSG00000143315,4.361438201,4.416603295
ENSG00000186812,6.636708512,6.577294603
ENSG00000286406,5.385026825,5.385408292
ENSG00000229011,1.720015515,2.133303427
ENSG00000114455,1.532352781,3.313082286
ENSG00000145029,9.152390835,9.181699261
ENSG00000133111,5.098515177,5.212685102
ENSG00000143612,9.385302698,9.397590378
ENSG00000100650,11.80696884,11.86780865
ENSG00000163354,5.157402815,5.852306673
ENSG00000173145,8.028857111,7.968817423
ENSG00000173262,8.261118218,8.080285492
ENSG00000128581,6.652485025,6.733137137
ENSG00000183283,11.93247347,11.78222879
ENSG00000198952,8.993898425,9.102914909
ENSG00000111640,13.30559765,13.37433396
ENSG00000196466,4.642839652,4.613132466
ENSG00000185962,2.404246577,2.144335511
ENSG00000162572,5.339593222,5.593031292
ENSG00000106526,3.095605612,3.095162182
ENSG00000135541,5.22957293,5.281329373
ENSG00000198133,6.989299333,7.108286718
ENSG00000196295,6.671408245,6.882888689
ENSG00000197905,2.95018949,3.052130318
ENSG00000166479,7.650690939,7.770143616
ENSG00000188997,8.724690803,8.741297654
ENSG00000133687,8.817035154,8.692113887
ENSG00000182489,4.774298518,4.654210323
ENSG00000188986,8.8453873,8.891520721
ENSG00000136960,8.486978212,8.656441688
ENSG00000224078,3.973574407,3.778686656
ENSG00000143546,11.33539093,11.30861006
ENSG00000100142,10.86498897,10.77056985
ENSG00000169372,10.19018079,10.16630187
ENSG00000113889,14.11951236,14.08839422
ENSG00000142528,4.645341505,4.659115523
ENSG00000183153,3.971284072,3.786659731
ENSG00000100207,5.094081987,4.502149414
ENSG00000140323,6.460130621,4.932245944
ENSG00000136891,8.287880919,8.267558112
ENSG00000141505,4.134239607,3.786292567
ENSG00000100162,4.181893575,3.227578098
ENSG00000163006,2.967054611,2.397695902
ENSG00000166794,11.25204288,11.18647978
ENSG00000198951,6.315428983,6.23180765
ENSG00000215041,8.155479909,8.242716817
